Train_ID,Route,Date,Passenger_Count,Seat_Capacity,Num_Coaches,Platform,Delay_Minutes,Weekend
12001,Delhi-Mumbai,2025-01-01,853,1000,20,4,7,0
12002,Delhi-Kolkata,2025-01-01,687,1000,20,6,17,0
12003,Hyderabad-Chennai,2025-01-01,465,1000,20,2,7,0
12004,Bangalore-Mumbai,2025-01-01,793,1000,20,4,20,0
12005,Chennai-Kolkata,2025-01-01,777,900,18,6,5,0
12006,Delhi-Hyderabad,2025-01-01,517,1100,22,3,5,0
12001,Delhi-Mumbai,2025-01-02,751,900,18,8,5,0
12002,Delhi-Kolkata,2025-01-02,643,1000,20,8,13,0
12003,Hyderabad-Chennai,2025-01-02,833,1100,22,5,9,0
12004,Bangalore-Mumbai,2025-01-02,816,1100,22,5,13,0
12005,Chennai-Kolkata,2025-01-02,786,1100,22,8,7,0
12006,Delhi-Hyderabad,2025-01-02,598,900,18,6,9,0
12001,Delhi-Mumbai,2025-01-03,753,900,18,5,10,0
12002,Delhi-Kolkata,2025-01-03,524,1000,20,2,8,0
12003,Hyderabad-Chennai,2025-01-03,653,1000,20,7,2,0
12004,Bangalore-Mumbai,2025-01-03,421,1100,22,5,3,0
12005,Chennai-Kolkata,2025-01-03,625,1100,22,2,7,0
12006,Delhi-Hyderabad,2025-01-03,847,1100,22,3,10,0
12001,Delhi-Mumbai,2025-01-04,1060,1100,22,4,10,1
12002,Delhi-Kolkata,2025-01-04,1025,900,18,5,12,1
12003,Hyderabad-Chennai,2025-01-04,901,1000,20,7,12,1
12004,Bangalore-Mumbai,2025-01-04,737,1000,20,3,8,1
12005,Chennai-Kolkata,2025-01-04,906,1100,22,1,16,1
12006,Delhi-Hyderabad,2025-01-04,772,1000,20,1,16,1
12001,Delhi-Mumbai,2025-01-05,935,900,18,7,17,1
12002,Delhi-Kolkata,2025-01-05,901,900,18,6,5,1
12003,Hyderabad-Chennai,2025-01-05,728,1000,20,5,20,1
12004,Bangalore-Mumbai,2025-01-05,825,1000,20,3,11,1
12005,Chennai-Kolkata,2025-01-05,696,1100,22,5,8,1
12006,Delhi-Hyderabad,2025-01-05,881,900,18,6,6,1
12001,Delhi-Mumbai,2025-01-06,726,1000,20,6,4,0
12002,Delhi-Kolkata,2025-01-06,578,1000,20,6,15,0
12003,Hyderabad-Chennai,2025-01-06,808,1100,22,3,10,0
12004,Bangalore-Mumbai,2025-01-06,824,1000,20,4,12,0
12005,Chennai-Kolkata,2025-01-06,541,900,18,1,16,0
12006,Delhi-Hyderabad,2025-01-06,846,1100,22,2,19,0
12001,Delhi-Mumbai,2025-01-07,597,900,18,7,15,0
